Well,Type,Gene,Sample,Copies,BioRep,Ct1,Ct2,Ct,Diff
B01,Standard,Wsp,,30000000,,,,21.21,
B02,Standard,Wsp,,3000000,,,,24.1,
B03,Standard,Wsp,,300000,,,,27.75,
B04,Standard,Wsp,,30000,,,,33.27,
B05,Standard,Wsp,,3000,,,,33.44,
B06,BLANK,Wsp,,,,,,39.18,
B07,Standard,HTH,,30000000,,,,20.17,
B08,Standard,HTH,,3000000,,,,23.25,
B09,Standard,HTH,,300000,,,,29.32,
B10,Standard,HTH,,30000,,,,31.54,
B11,BLANK,HTH,,3000,,,,,
B12,BLANK,HTH,,,,,,33.55,
C01,Sample,Wsp,Mel,1,1,12.62,12.86,12.74,0.24
C02,Sample,Wsp,Mel,2,2,12.77,13.08,12.93,0.3
C03,Sample,Wsp,Mel,3,3,12.5,12.74,12.62,0.24
C04,Sample,Wsp,Mel,4,4,12.38,12.65,12.52,0.27
C05,Sample,Wsp,Mel,5,5,12.39,12.61,12.5,0.22
C06,Sample,Wsp,Mel,6,6,12.28,12.33,12.3,0.05
C07,Sample,HTH,Mel,1,1,23.12,23.18,23.15,0.05
C08,Sample,HTH,Mel,2,2,22.71,22.57,22.64,-0.14
C09,Sample,HTH,Mel,3,3,22.73,23.1,22.91,0.38
C10,Sample,HTH,Mel,4,4,23.21,23.05,23.13,-0.17
C11,Sample,HTH,Mel,5,5,22.94,22.92,22.93,-0.01
C12,Sample,HTH,Mel,6,6,22.55,22.8,22.68,0.25
E01,Sample,Wsp,Mel,7,7,12.77,13.09,12.93,0.31
E02,Sample,Wsp,Mel,8,8,12.81,13.11,12.96,0.3
E03,Sample,Wsp,Pop,1,1,14.26,14.47,14.36,0.21
E04,Sample,Wsp,Pop,2,2,14.45,14.58,14.51,0.12
E05,Sample,Wsp,Pop,3,3,13.66,13.89,13.78,0.23
E06,Sample,Wsp,Pop,4,4,13.58,13.81,13.7,0.23
E07,Sample,HTH,Mel,7,7,22.73,22.8,22.77,0.07
E08,Sample,HTH,Mel,8,8,22.63,22.8,22.72,0.17
E09,Sample,HTH,Pop,1,1,22.55,22.85,22.7,0.3
E10,Sample,HTH,Pop,2,2,22.4,22.44,22.42,0.04
E11,Sample,HTH,Pop,3,3,22.29,22.46,22.38,0.17
E12,Sample,HTH,Pop,4,4,22.74,22.94,22.84,0.2
G01,Sample,Wsp,Pop,5,5,13.81,14.24,14.03,0.43
G02,Sample,Wsp,Pop,6,6,14.72,15.07,14.9,0.35
G03,Sample,Wsp,Pop,7,7,14.58,14.76,14.67,0.18
G04,Sample,Wsp,Pop,8,8,14.3,14.49,14.39,0.19
G05,Sample,Wsp,T,1,1,34.72,35.6,35.16,0.88
G06,Sample,Wsp,T,2,2,31.69,31.61,31.65,-0.08
G07,Sample,HTH,Pop,5,5,22.67,22.55,22.61,-0.12
G08,Sample,HTH,Pop,6,6,22.19,22.24,22.21,0.05
G09,Sample,HTH,Pop,7,7,22.32,11.85,22.32,-10.47
G10,Sample,HTH,Pop,8,8,22.2,22.33,22.26,0.13
G11,Sample,HTH,T,1,1,22.06,22.33,22.19,0.26
G12,Sample,HTH,T,2,2,22.4,23.55,22.4,1.15
